Location,Positive_Cases,Last_updated,Last_updated_time
Allegany,9,4/1/2020,15:10
Broome,42,4/1/2020,15:10
Cattaraugus,7,4/1/2020,15:10
Cayuga,3,4/1/2020,15:10
Chautauqua,6,4/1/2020,15:10
Chemung,22,4/1/2020,15:10
Chenango,26,4/1/2020,15:10
Clinton,25,4/1/2020,15:10
Columbia,31,4/1/2020,15:10
Cortland,8,4/1/2020,15:10
Delaware,20,4/1/2020,15:10
Dutchess,547,4/1/2020,15:10
Erie,464,4/1/2020,15:10
Essex,6,4/1/2020,15:10
Franklin,9,4/1/2020,15:10
Fulton,2,4/1/2020,15:10
Genesee,13,4/1/2020,15:10
Greene,18,4/1/2020,15:10
Hamilton,2,4/1/2020,15:10
Herkimer,12,4/1/2020,15:10
Jefferson,12,4/1/2020,15:10
Lewis,2,4/1/2020,15:10
Livingston,14,4/1/2020,15:10
Madison,51,4/1/2020,15:10
Monroe,349,4/1/2020,15:10
Montgomery,7,4/1/2020,15:10
Nassau,"9,554",4/1/2020,15:10
Niagara,46,4/1/2020,15:10
New York City,"47,439",4/1/2020,15:10
Oneida,50,4/1/2020,15:10
Onondaga,217,4/1/2020,15:10
Ontario,24,4/1/2020,15:10
Orange,"1,756",4/1/2020,15:10
Orleans,6,4/1/2020,15:10
Oswego,17,4/1/2020,15:10
Otsego,19,4/1/2020,15:10
Putnam,207,4/1/2020,15:10
Rensselaer,43,4/1/2020,15:10
Rockland,"3,321",4/1/2020,15:10
Saratoga,122,4/1/2020,15:10
Schenectady,93,4/1/2020,15:10
Schoharie,8,4/1/2020,15:10
Schuyler,2,4/1/2020,15:10
Seneca,2,4/1/2020,15:10
St. Lawrence,34,4/1/2020,15:10
Steuben,38,4/1/2020,15:10
Suffolk,"7,605",4/1/2020,15:10
Sullivan,121,4/1/2020,15:10
Tioga,7,4/1/2020,15:10
Tompkins,68,4/1/2020,15:10
Ulster,221,4/1/2020,15:10
Warren,18,4/1/2020,15:10
Washington,10,4/1/2020,15:10
Wayne,24,4/1/2020,15:10
Westchester,"10,683",4/1/2020,15:10
Wyoming,10,4/1/2020,15:10
Total Number of Positive Cases,"83,712",4/1/2020,15:10
Albany,253,4/2/2020,16:01
Allegany,12,4/2/2020,16:01
Broome,46,4/2/2020,16:01
Cattaraugus,8,4/2/2020,16:01
Cayuga,4,4/2/2020,16:01
Chautauqua,8,4/2/2020,16:01
Chemung,22,4/2/2020,16:01
Chenango,28,4/2/2020,16:01
Clinton,25,4/2/2020,16:01
Columbia,36,4/2/2020,16:01
Cortland,8,4/2/2020,16:01
Delaware,22,4/2/2020,16:01
Dutchess,667,4/2/2020,16:01
Erie,617,4/2/2020,16:01
Essex,6,4/2/2020,16:01
Franklin,9,4/2/2020,16:01
Fulton,6,4/2/2020,16:01
Genesee,14,4/2/2020,16:01
Greene,21,4/2/2020,16:01
Hamilton,2,4/2/2020,16:01
Herkimer,14,4/2/2020,16:01
Jefferson,15,4/2/2020,16:01
Lewis,2,4/2/2020,16:01
Livingston,14,4/2/2020,16:01
Madison,60,4/2/2020,16:01
Monroe,420,4/2/2020,16:01
Montgomery,8,4/2/2020,16:01
Nassau,"10,587",4/2/2020,16:01
Niagara,76,4/2/2020,16:01
New York City,"51,809",4/2/2020,16:01
Oneida,61,4/2/2020,16:01
Onondaga,234,4/2/2020,16:01
Ontario,26,4/2/2020,16:01
Orange,"1,993",4/2/2020,16:01
Orleans,6,4/2/2020,16:01
Oswego,22,4/2/2020,16:01
Otsego,21,4/2/2020,16:01
Putnam,216,4/2/2020,16:01
Rensselaer,53,4/2/2020,16:01
Rockland,"3,751",4/2/2020,16:01
Saratoga,132,4/2/2020,16:01
Schenectady,101,4/2/2020,16:01
Schoharie,8,4/2/2020,16:01
Schuyler,3,4/2/2020,16:01
Seneca,4,4/2/2020,16:01
St. Lawrence,39,4/2/2020,16:01
Steuben,43,4/2/2020,16:01
Suffolk,"8,746",4/2/2020,16:01
Sullivan,143,4/2/2020,16:01
Tioga,7,4/2/2020,16:01
Tompkins,74,4/2/2020,16:01
Ulster,240,4/2/2020,16:01
Warren,18,4/2/2020,16:01
Washington,12,4/2/2020,16:01
Wayne,27,4/2/2020,16:01
Westchester,"11,567",4/2/2020,16:01
Wyoming,14,4/2/2020,16:01
Yates,1,4/2/2020,16:01
Total Number of Positive Cases,"92,381",4/2/2020,16:01
