Location,Positive_Cases,Last_updated,Last_updated_time
Oneida,2,3/19/2020,13:20
Onondaga,5,3/19/2020,13:20
Ontario,1,3/19/2020,13:20
Orange,51,3/19/2020,13:20
Putnam,5,3/19/2020,13:20
Rensselaer,6,3/19/2020,13:20
Rockland,53,3/19/2020,13:20
Saratoga,18,3/19/2020,13:20
Schenectady,18,3/19/2020,13:20
Schoharie,1,3/19/2020,13:20
Suffolk,178,3/19/2020,13:20
Sullivan,3,3/19/2020,13:20
Tioga,1,3/19/2020,13:20
Tompkins,6,3/19/2020,13:20
Ulster,10,3/19/2020,13:20
Warren,1,3/19/2020,13:20
Washington,1,3/19/2020,13:20
Wayne,1,3/19/2020,13:20
Westchester,798,3/19/2020,13:20
Wyoming,2,3/19/2020,13:20
Total Number of Positive Cases,"4,152",3/19/2020,13:20
Albany,61,3/20/2020,15:25
Allegany,2,3/20/2020,15:25
Broome,2,3/20/2020,15:25
Chenango,2,3/20/2020,15:25
Clinton,2,3/20/2020,15:25
Columbia,1,3/20/2020,15:25
Delaware,1,3/20/2020,15:25
Dutchess,36,3/20/2020,15:25
Erie,31,3/20/2020,15:25
Essex,1,3/20/2020,15:25
Fulton,1,3/20/2020,15:25
Genesee,1,3/20/2020,15:25
Greene,2,3/20/2020,15:25
Hamilton,2,3/20/2020,15:25
Herkimer,2,3/20/2020,15:25
Jefferson,1,3/20/2020,15:25
Livingston,1,3/20/2020,15:25
Monroe,32,3/20/2020,15:25
Montgomery,2,3/20/2020,15:25
Nassau,754,3/20/2020,15:25
Niagara,3,3/20/2020,15:25
New York City,"4,408",3/20/2020,15:25
Oneida,2,3/20/2020,15:25
Onondaga,8,3/20/2020,15:25
Ontario,3,3/20/2020,15:25
Orange,84,3/20/2020,15:25
Putnam,7,3/20/2020,15:25
Rensselaer,8,3/20/2020,15:25
Rockland,101,3/20/2020,15:25
Saratoga,24,3/20/2020,15:25
Schenectady,21,3/20/2020,15:25
Schoharie,1,3/20/2020,15:25
Suffolk,371,3/20/2020,15:25
Sullivan,8,3/20/2020,15:25
Tioga,1,3/20/2020,15:25
Tompkins,7,3/20/2020,15:25
Ulster,12,3/20/2020,15:25
Warren,1,3/20/2020,15:25
Washington,1,3/20/2020,15:25
Wayne,1,3/20/2020,15:25
Westchester,"1,091",3/20/2020,15:25
Wyoming,2,3/20/2020,15:25
Total Number of Positive Cases,"7,102",3/20/2020,15:25
Albany,88,3/21/2020,16:14
Allegany,2,3/21/2020,16:14
Broome,2,3/21/2020,16:14
Chenango,2,3/21/2020,16:14
Clinton,4,3/21/2020,16:14
Columbia,2,3/21/2020,16:14
Delaware,1,3/21/2020,16:14
Dutchess,49,3/21/2020,16:14
Erie,38,3/21/2020,16:14
Essex,2,3/21/2020,16:14
Fulton,1,3/21/2020,16:14
Genesee,1,3/21/2020,16:14
Greene,2,3/21/2020,16:14
Hamilton,2,3/21/2020,16:14
Herkimer,3,3/21/2020,16:14
Jefferson,1,3/21/2020,16:14
Livingston,2,3/21/2020,16:14
Monroe,42,3/21/2020,16:14
Montgomery,3,3/21/2020,16:14
Nassau,"1,234",3/21/2020,16:14
Niagara,4,3/21/2020,16:14
New York City,"6,211",3/21/2020,16:14
Oneida,4,3/21/2020,16:14
Onondaga,17,3/21/2020,16:14
Ontario,4,3/21/2020,16:14
Orange,163,3/21/2020,16:14
Putnam,22,3/21/2020,16:14
Rensselaer,20,3/21/2020,16:14
Rockland,262,3/21/2020,16:14
Saratoga,35,3/21/2020,16:14
Schenectady,32,3/21/2020,16:14
Schoharie,1,3/21/2020,16:14
Steuben,2,3/21/2020,16:14
Suffolk,662,3/21/2020,16:14
Sullivan,12,3/21/2020,16:14
Tioga,1,3/21/2020,16:14
Tompkins,11,3/21/2020,16:14
Ulster,18,3/21/2020,16:14
Warren,1,3/21/2020,16:14
Washington,1,3/21/2020,16:14
Wayne,3,3/21/2020,16:14
Westchester,"1,387",3/21/2020,16:14
Wyoming,2,3/21/2020,16:14
Total Number of Positive Cases,"10,356",3/21/2020,16:14
Albany,123,3/22/2020,14:15
Allegany,2,3/22/2020,14:15
Broome,3,3/22/2020,14:15
Chenango,3,3/22/2020,14:15
Clinton,4,3/22/2020,14:15
Columbia,5,3/22/2020,14:15
Cortland,1,3/22/2020,14:15
Delaware,3,3/22/2020,14:15
Dutchess,82,3/22/2020,14:15
Erie,54,3/22/2020,14:15
Essex,3,3/22/2020,14:15
Fulton,1,3/22/2020,14:15
Genesee,1,3/22/2020,14:15
Greene,2,3/22/2020,14:15
Hamilton,2,3/22/2020,14:15
Herkimer,4,3/22/2020,14:15
Jefferson,1,3/22/2020,14:15
Livingston,2,3/22/2020,14:15
Madison,1,3/22/2020,14:15
Monroe,57,3/22/2020,14:15
Montgomery,3,3/22/2020,14:15
Nassau,"1,900",3/22/2020,14:15
Niagara,6,3/22/2020,14:15
New York City,"9,045",3/22/2020,14:15
